ID,Month,DayofMonth,DayOfWeek,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,TotalDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,1,3,4,335,N712SW,128,150,116,-6,IAD,TPA,810,4,8,,,,,
2,1,3,4,3231,N772SW,128,145,113,21,IAD,TPA,810,5,10,,,,,
3,1,3,4,448,N428WN,96,90,76,22,IND,BWI,515,3,17,,,,,
4,1,3,4,3920,N464WN,90,90,77,68,IND,BWI,515,3,10,2,0,0,0,32
5,1,3,4,378,N726SW,101,115,87,36,IND,JAX,688,4,10,,,,,
6,1,3,4,509,N763SW,240,250,230,124,IND,LAS,1591,3,7,10,0,0,0,47
7,1,3,4,100,N690SW,130,135,106,7,IND,MCO,828,5,19,,,,,
8,1,3,4,1333,N334SW,121,135,107,174,IND,MCO,828,6,8,8,0,0,0,72
9,1,3,4,2272,N263WN,52,50,37,20,IND,MDW,162,6,9,,,,,
10,1,3,4,675,N286WN,228,240,213,42,IND,PHX,1489,7,8,3,0,0,0,12
11,1,3,4,1144,N778SW,226,250,205,-6,IND,PHX,1489,5,16,,,,,
12,1,3,4,4,N674AA,123,135,110,44,IND,TPA,838,4,9,0,0,0,0,16
13,1,3,4,54,N643SW,56,70,49,88,ISP,BWI,220,2,5,12,0,0,0,25
14,1,3,4,623,N724SW,57,70,47,51,ISP,BWI,220,5,5,7,0,0,0,12
15,1,3,4,717,N786SW,56,70,49,26,ISP,BWI,220,2,5,,,,,
16,1,3,4,1244,N714CB,54,70,47,2,ISP,BWI,220,2,5,,,,,
17,1,3,4,2553,N394SW,59,70,50,39,ISP,BWI,220,2,7,,,,,
18,1,3,4,188,N215WN,155,195,143,134,ISP,FLL,1093,6,6,40,0,0,0,7
19,1,3,4,1754,N243WN,165,190,155,33,ISP,FLL,1093,3,7,,,,,
20,1,3,4,362,N798SW,147,165,134,146,ISP,MCO,972,6,7,5,0,0,0,59
21,1,3,4,1397,N247WN,154,170,140,8,ISP,MCO,972,7,7,,,,,
22,1,3,4,3398,N707SA,146,170,134,14,ISP,MCO,972,6,6,,,,,
23,1,3,4,3480,N443WN,145,170,134,53,ISP,MCO,972,5,6,,,,,
24,1,3,4,422,N779SW,135,145,118,154,ISP,MDW,765,6,11,3,0,0,0,69
25,1,3,4,1837,N704SW,128,145,114,27,ISP,MDW,765,9,5,,,,,
26,1,3,4,2871,N709SW,127,145,113,40,ISP,MDW,765,8,6,,,,,
27,1,3,4,1056,N459WN,153,180,143,85,ISP,PBI,1052,5,5,0,0,0,0,29
28,1,3,4,2175,N621SW,150,185,138,13,ISP,PBI,1052,4,8,,,,,
29,1,3,4,3319,N206WN,152,180,140,-16,ISP,PBI,1052,4,8,,,,,
30,1,3,4,3667,N280WN,163,195,151,-20,ISP,RSW,1101,3,9,,,,,
31,1,3,4,2006,N241WN,155,180,143,1,ISP,TPA,1034,4,8,,,,,
32,1,3,4,3858,N200WN,154,180,144,10,ISP,TPA,1034,4,6,,,,,
33,1,3,4,3244,N475WN,136,130,121,36,JAN,BWI,888,7,8,0,0,6,0,15
34,1,3,4,186,N792SW,69,80,59,619,JAN,HOU,359,3,7,282,0,0,0,22
35,1,3,4,3154,N252WN,70,80,60,80,JAN,HOU,359,3,7,26,0,0,0,9
36,1,3,4,1035,N346SW,96,100,81,102,JAN,MCO,587,8,7,7,0,0,0,42
37,1,3,4,205,N299WN,143,115,97,48,JAN,MDW,666,40,6,1,0,28,0,9
38,1,3,4,3430,N487WN,71,75,59,42,JAX,BHM,365,3,9,0,0,0,0,19
39,1,3,4,1580,N243WN,99,95,77,56,JAX,BNA,484,6,16,26,0,4,0,0
40,1,3,4,2195,N479WN,86,90,72,56,JAX,BNA,484,5,9,0,0,0,10,16
41,1,3,4,378,N726SW,65,70,54,13,JAX,FLL,318,3,8,,,,,
42,1,3,4,3948,N467WN,63,70,49,9,JAX,FLL,318,6,8,,,,,
43,1,3,4,54,N643SW,143,150,125,69,JAX,HOU,816,6,12,11,0,0,0,20
44,1,3,4,2272,N263WN,119,125,104,18,JAX,IND,688,7,8,,,,,
45,1,3,4,23,N521SW,127,135,113,80,JAX,PHL,742,4,10,3,0,0,0,33
46,1,3,4,1232,N663SW,134,135,120,23,JAX,PHL,742,5,9,,,,,
47,1,3,4,977,N376SW,52,50,39,18,JAX,TPA,180,4,9,,,,,
48,1,3,4,1574,N791SW,54,50,36,120,JAX,TPA,180,4,14,0,0,4,0,58
49,1,3,4,2019,N392SW,51,55,38,14,JAX,TPA,180,4,9,,,,,
50,1,3,4,500,N799SW,75,85,60,96,LAS,ABQ,487,4,11,15,0,0,0,28
51,1,3,4,890,N618WN,74,80,60,160,LAS,ABQ,487,4,10,7,0,0,0,70
52,1,3,4,1171,N682SW,83,90,65,107,LAS,ABQ,487,3,15,50,0,0,0,0
53,1,3,4,1925,N509SW,79,85,60,22,LAS,ABQ,487,4,15,,,,,
54,1,3,4,302,N473WN,256,275,243,175,LAS,ALB,2237,3,10,8,0,0,0,70
55,1,3,4,1079,N351SW,124,120,91,72,LAS,AMA,758,5,28,3,0,4,0,31
56,1,3,4,155,N238WN,148,160,131,20,LAS,AUS,1090,3,14,,,,,
57,1,3,4,2021,N499WN,146,155,127,117,LAS,AUS,1090,5,14,23,0,0,0,31
58,1,3,4,3222,N309SW,149,160,135,19,LAS,AUS,1090,4,10,,,,,
59,1,3,4,1018,N245WN,275,285,253,108,LAS,BDL,2298,9,13,19,0,0,0,30
60,1,3,4,419,N275WN,196,210,178,76,LAS,BNA,1588,6,12,2,0,0,0,29
61,1,3,4,2032,N271WN,204,210,183,46,LAS,BNA,1588,6,15,18,0,0,0,2
62,1,3,4,3940,N434WN,196,205,177,129,LAS,BNA,1588,5,14,0,0,22,0,38
63,1,3,4,538,N619SW,98,110,73,60,LAS,BOI,520,3,22,9,0,0,0,15
64,1,3,4,2383,N290WN,233,250,221,121,LAS,BUF,1987,2,10,48,0,0,0,4
65,1,3,4,219,N383SW,66,60,46,132,LAS,BUR,223,3,17,17,0,6,0,46
66,1,3,4,391,N608SW,58,60,46,74,LAS,BUR,223,2,10,20,0,0,0,16
67,1,3,4,815,N626SW,64,60,48,106,LAS,BUR,223,3,13,4,0,4,0,47
68,1,3,4,1072,N369SW,59,60,43,421,LAS,BUR,223,3,13,114,0,0,0,96
69,1,3,4,1328,N396SW,64,65,50,27,LAS,BUR,223,2,12,,,,,
70,1,3,4,1586,N293,57,65,46,12,LAS,BUR,223,2,9,,,,,
71,1,3,4,1838,N509SW,60,65,47,27,LAS,BUR,223,2,11,,,,,
72,1,3,4,2284,N409WN,66,70,46,108,LAS,BUR,223,2,18,1,0,0,0,51
73,1,3,4,2874,N695SW,73,65,47,26,LAS,BUR,223,2,24,9,0,8,0,0
74,1,3,4,1774,N220WN,260,265,244,41,LAS,BWI,2106,6,10,18,0,0,0,0
75,1,3,4,2632,N784SW,245,260,230,79,LAS,BWI,2106,5,10,7,0,0,0,25
76,1,3,4,818,N244WN,242,240,213,24,LAS,CLE,1825,8,21,,,,,
77,1,3,4,564,N455WN,212,230,195,120,LAS,CMH,1772,2,15,10,0,0,0,41
78,1,3,4,991,N297WN,235,230,201,25,LAS,CMH,1772,6,28,10,0,5,0,0
79,1,3,4,157,N481WN,101,110,79,25,LAS,DEN,629,9,13,,,,,
80,1,3,4,632,N203WN,96,110,77,140,LAS,DEN,629,6,13,0,0,7,0,56
81,1,3,4,706,N491WN,110,115,88,229,LAS,DEN,629,8,14,0,0,0,0,112
82,1,3,4,908,N480WN,96,110,78,46,LAS,DEN,629,6,12,7,0,0,0,9
83,1,3,4,1582,N318SW,101,115,85,14,LAS,DEN,629,7,9,,,,,
84,1,3,4,2907,N647SW,109,120,80,43,LAS,DEN,629,8,21,2,0,0,0,14
85,1,3,4,2192,N313SW,92,95,78,67,LAS,ELP,584,2,12,10,0,0,0,22
86,1,3,4,2280,N352SW,91,100,73,9,LAS,ELP,584,3,15,,,,,
87,1,3,4,1636,N321SW,128,155,116,27,LAS,GEG,806,3,9,,,,,
88,1,3,4,2803,N660SW,135,150,116,115,LAS,GEG,806,4,15,50,0,0,0,0
89,1,3,4,719,N414WN,159,175,143,82,LAS,HOU,1235,3,13,12,0,0,0,21
90,1,3,4,1776,N408WN,174,180,147,14,LAS,HOU,1235,3,24,,,,,
91,1,3,4,3244,N475WN,158,175,146,1,LAS,HOU,1235,3,9,,,,,
92,1,3,4,3746,N321SW,163,165,150,80,LAS,HOU,1235,4,9,17,0,0,0,22
93,1,3,4,1027,N230WN,252,260,232,52,LAS,IAD,2066,7,13,6,0,0,0,16
94,1,3,4,1924,N761RR,194,215,176,529,LAS,IND,1591,9,9,0,0,0,8,246
95,1,3,4,3920,N464WN,208,215,179,71,LAS,IND,1591,8,21,32,0,0,0,0
96,1,3,4,3144,N272WN,295,285,269,114,LAS,ISP,2283,4,22,13,0,10,0,39
97,1,3,4,82,N499WN,60,65,42,41,LAS,LAX,236,6,12,0,0,0,12,6
98,1,3,4,135,N244WN,59,65,40,28,LAS,LAX,236,7,12,,,,,
99,1,3,4,317,N335SW,73,65,41,60,LAS,LAX,236,16,16,18,0,8,0,8
100,1,3,4,337,N488WN,61,60,42,33,LAS,LAX,236,7,12,16,0,1,0,0
101,1,3,4,354,N496WN,68,65,41,125,LAS,LAX,236,9,18,61,0,3,0,0
102,1,3,4,1061,N422WN,68,65,47,33,LAS,LAX,236,5,16,10,0,3,0,5
103,1,3,4,1928,N792SW,72,70,43,58,LAS,LAX,236,7,22,0,0,2,0,28
104,1,3,4,2367,N352SW,82,70,45,96,LAS,LAX,236,7,30,15,0,12,0,27
105,1,3,4,2896,N335SW,65,65,44,76,LAS,LAX,236,11,10,13,0,0,0,25
106,1,3,4,2382,N404WN,114,120,90,88,LAS,LBB,775,4,20,25,0,0,0,16
107,1,3,4,565,N787SA,164,175,148,7,LAS,LIT,1295,4,12,,,,,
108,1,3,4,43,N617SW,117,120,95,57,LAS,MAF,796,2,20,27,0,0,0,0
109,1,3,4,213,N302SW,175,170,139,37,LAS,MCI,1140,4,32,1,0,5,0,15
110,1,3,4,411,N763SW,156,165,131,137,LAS,MCI,1140,7,18,14,0,0,0,50
111,1,3,4,1004,N676SW,143,165,130,94,LAS,MCI,1140,5,8,4,0,0,0,32
112,1,3,4,1405,N775SW,157,170,130,131,LAS,MCI,1140,4,23,59,0,0,0,0
113,1,3,4,3068,N449WN,158,170,136,34,LAS,MCI,1140,5,17,,,,,
114,1,3,4,380,N444WN,254,265,234,27,LAS,MCO,2039,6,14,,,,,
115,1,3,4,74,N764SW,256,210,177,58,LAS,MDW,1521,62,17,6,0,46,0,0
116,1,3,4,396,N407WN,197,210,177,5,LAS,MDW,1521,8,12,,,,,
117,1,3,4,693,N232WN,219,215,175,56,LAS,MDW,1521,23,21,0,0,4,0,26
118,1,3,4,823,N725SW,200,205,181,33,LAS,MDW,1521,6,13,,,,,
119,1,3,4,1865,N745SW,186,210,169,-8,LAS,MDW,1521,6,11,,,,,
120,1,3,4,2025,N740SW,192,200,171,60,LAS,MDW,1521,8,13,4,0,0,0,22
121,1,3,4,2450,N405WN,187,200,168,167,LAS,MDW,1521,8,11,13,0,0,0,64
122,1,3,4,2794,N468WN,185,200,171,159,LAS,MDW,1521,7,7,60,0,0,0,12
123,1,3,4,3232,N201LV,193,215,177,66,LAS,MDW,1521,6,10,4,0,0,0,18
124,1,3,4,767,N222WN,270,290,257,16,LAS,MHT,2356,4,9,,,,,
125,1,3,4,3327,N282WN,182,195,166,63,LAS,MSY,1501,4,12,3,0,0,0,22
126,1,3,4,127,N784SW,91,95,74,14,LAS,OAK,407,4,13,,,,,
127,1,3,4,223,N223WN,86,95,72,239,LAS,OAK,407,5,9,21,0,0,0,94
128,1,3,4,237,N281WN,94,100,76,86,LAS,OAK,407,3,15,2,0,0,0,38
129,1,3,4,280,N460WN,100,90,78,96,LAS,OAK,407,4,18,14,0,10,0,29
130,1,3,4,900,N679AA,92,90,78,104,LAS,OAK,407,4,10,11,0,2,0,40
131,1,3,4,962,N378SW,113,90,77,163,LAS,OAK,407,28,8,45,0,23,0,25
132,1,3,4,1011,N248WN,95,95,79,26,LAS,OAK,407,4,12,,,,,
133,1,3,4,1258,N774SW,91,90,71,21,LAS,OAK,407,3,17,,,,,
134,1,3,4,3135,N695SW,94,90,81,34,LAS,OAK,407,3,10,15,0,4,0,0
135,1,3,4,86,N627SW,144,140,116,18,LAS,OKC,987,4,24,,,,,
136,1,3,4,479,N622SW,144,160,132,144,LAS,OMA,1099,3,9,38,0,0,0,26
137,1,3,4,875,N217JC,137,155,125,160,LAS,OMA,1099,2,10,32,0,0,0,39
138,1,3,4,725,N259WN,46,55,34,51,LAS,ONT,197,4,8,3,0,0,0,18
139,1,3,4,906,N301SW,50,55,36,59,LAS,ONT,197,3,11,27,0,0,0,0
140,1,3,4,1493,N356SW,50,50,36,116,LAS,ONT,197,5,9,0,0,20,0,38
141,1,3,4,1670,N742SW,47,55,34,24,LAS,ONT,197,5,8,,,,,
142,1,3,4,2018,N313SW,61,55,36,36,LAS,ONT,197,4,21,0,0,6,0,15
143,1,3,4,2730,N273WN,52,55,32,73,LAS,ONT,197,3,17,0,0,0,0,35
144,1,3,4,3070,N660SW,51,55,37,52,LAS,ONT,197,4,10,4,0,0,0,20
145,1,3,4,156,N466WN,251,270,237,105,LAS,ORF,2155,4,10,13,0,0,0,30
146,1,3,4,700,N678AA,126,140,112,28,LAS,PDX,762,4,10,,,,,
147,1,3,4,2354,N258WN,141,145,106,62,LAS,PDX,762,22,13,24,0,0,0,5
148,1,3,4,2550,N608SW,129,140,112,97,LAS,PDX,762,3,14,12,0,0,0,31
149,1,3,4,1285,N435WN,269,290,245,63,LAS,PHL,2176,5,19,18,0,0,0,3
150,1,3,4,1843,N484WN,261,285,244,16,LAS,PHL,2176,4,13,,,,,
151,1,3,4,243,N228WN,80,70,49,24,LAS,PHX,256,7,24,0,0,10,0,7
152,1,3,4,287,N747SA,66,70,50,10,LAS,PHX,256,5,11,,,,,
153,1,3,4,504,N338SW,59,65,47,8,LAS,PHX,256,4,8,,,,,
154,1,3,4,559,N603SW,64,70,49,48,LAS,PHX,256,5,10,2,0,0,0,19
155,1,3,4,668,N221WN,62,65,48,171,LAS,PHX,256,4,10,6,0,0,0,78
156,1,3,4,781,N378SW,69,65,46,52,LAS,PHX,256,8,15,9,0,4,0,15
157,1,3,4,1403,N258WN,57,60,43,89,LAS,PHX,256,5,9,2,0,0,0,41
158,1,3,4,1682,N281WN,54,60,40,114,LAS,PHX,256,3,11,2,0,0,0,52
159,1,3,4,2726,N777QC,64,65,46,61,LAS,PHX,256,5,13,16,0,0,0,14
160,1,3,4,2991,N752SW,55,65,43,140,LAS,PHX,256,4,8,48,0,0,0,17
161,1,3,4,3517,N487WN,68,75,49,47,LAS,PHX,256,5,14,2,0,0,0,18
162,1,3,4,3598,N790SW,63,65,44,20,LAS,PHX,256,5,14,,,,,
163,1,3,4,512,N794SW,229,245,210,64,LAS,PIT,1910,6,13,10,0,0,0,14
164,1,3,4,594,N715SW,244,245,218,23,LAS,PIT,1910,7,19,,,,,
165,1,3,4,416,N401WN,293,290,266,63,LAS,PVD,2363,4,23,6,0,3,0,24
166,1,3,4,170,N448WN,256,260,231,28,LAS,RDU,2027,6,19,,,,,
167,1,3,4,1509,N403WN,237,260,222,95,LAS,RDU,2027,2,13,27,0,0,0,9
168,1,3,4,239,N267WN,74,85,60,81,LAS,RNO,345,4,10,11,0,0,0,24
169,1,3,4,298,N450WN,66,80,54,52,LAS,RNO,345,4,8,9,0,0,0,10
170,1,3,4,675,N286WN,84,80,57,26,LAS,RNO,345,14,13,0,0,4,0,11
171,1,3,4,709,N428WN,83,80,55,61,LAS,RNO,345,7,21,26,0,3,0,3
172,1,3,4,891,N400WN,76,75,61,67,LAS,RNO,345,3,12,8,0,1,0,25
173,1,3,4,1341,N442WN,79,75,57,34,LAS,RNO,345,4,18,6,0,4,0,9
174,1,3,4,2273,N286WN,74,75,56,113,LAS,RNO,345,4,14,0,0,0,0,56
175,1,3,4,2719,N466WN,70,85,54,65,LAS,RNO,345,4,12,0,0,1,0,24
176,1,3,4,3430,N487WN,84,80,57,40,LAS,RNO,345,4,23,8,0,4,0,10
177,1,3,4,3835,N610WN,72,80,56,42,LAS,RNO,345,4,12,9,0,0,0,8
178,1,3,4,341,N315SW,67,65,51,38,LAS,SAN,258,2,14,8,0,2,0,10
179,1,3,4,708,N692SW,60,60,45,100,LAS,SAN,258,3,12,21,0,0,0,29
180,1,3,4,715,N902WN,68,70,46,34,LAS,SAN,258,4,18,4,0,0,0,12
181,1,3,4,1037,N734SA,59,65,46,6,LAS,SAN,258,2,11,,,,,
182,1,3,4,1254,N490WN,61,60,44,21,LAS,SAN,258,4,13,,,,,
183,1,3,4,2186,N692SW,66,60,44,124,LAS,SAN,258,4,18,5,0,6,0,54
184,1,3,4,2211,N646SW,60,60,49,84,LAS,SAN,258,3,8,17,0,0,0,25
185,1,3,4,2357,N414WN,61,65,48,72,LAS,SAN,258,3,10,9,0,0,0,25
186,1,3,4,2363,N405WN,74,60,47,130,LAS,SAN,258,3,24,0,0,19,0,53
187,1,3,4,2449,N454WN,58,60,45,104,LAS,SAN,258,3,10,12,0,0,0,39
188,1,3,4,3423,N298WN,67,65,50,18,LAS,SAN,258,3,14,,,,,
189,1,3,4,120,N277WN,144,155,126,11,LAS,SAT,1069,4,14,,,,,
190,1,3,4,802,N902WN,134,150,122,78,LAS,SAT,1069,2,10,23,0,0,0,8
191,1,3,4,2113,N350SW,140,150,127,8,LAS,SAT,1069,4,9,,,,,
192,1,3,4,495,N768SW,219,215,192,46,LAS,SDF,1624,9,18,18,0,4,0,3
193,1,3,4,340,N634SW,145,165,129,18,LAS,SEA,866,7,9,,,,,
194,1,3,4,563,N285WN,144,160,129,8,LAS,SEA,866,5,10,,,,,
195,1,3,4,2465,N431WN,133,160,119,27,LAS,SEA,866,7,7,,,,,
196,1,3,4,488,N615SW,99,95,75,66,LAS,SFO,414,3,21,0,0,22,0,13
197,1,3,4,619,N491WN,99,95,76,122,LAS,SFO,414,3,20,0,0,54,0,9
198,1,3,4,2005,N302SW,162,95,73,469,LAS,SFO,414,4,85,192,0,67,0,9
199,1,3,4,2788,N602SW,103,95,88,168,LAS,SFO,414,4,11,0,0,63,0,25
200,1,3,4,3061,N447WN,118,95,98,255,LAS,SFO,414,4,16,0,0,131,0,8
201,1,3,4,3575,N492WN,88,95,72,359,LAS,SFO,414,4,12,0,0,176,0,0
202,1,3,4,12,N361SW,85,85,71,64,LAS,SJC,386,4,10,4,0,0,0,28
203,1,3,4,400,N429WN,87,80,70,71,LAS,SJC,386,4,13,2,0,7,0,30
204,1,3,4,774,N437WN,87,80,69,75,LAS,SJC,386,8,10,34,0,7,0,0
205,1,3,4,783,N306SW,94,85,68,99,LAS,SJC,386,5,21,10,0,9,0,35
206,1,3,4,3844,N446WN,83,85,66,76,LAS,SJC,386,5,12,9,0,0,0,28
207,1,3,4,161,N455WN,89,80,54,87,LAS,SLC,368,6,29,39,0,9,0,0
208,1,3,4,415,N395SW,70,75,58,233,LAS,SLC,368,2,10,25,0,0,0,89
209,1,3,4,643,N756SA,73,80,55,91,LAS,SLC,368,4,14,3,0,0,0,39
210,1,3,4,1166,N351SW,75,75,58,46,LAS,SLC,368,3,14,4,0,0,0,19
211,1,3,4,1585,N766SW,83,85,62,152,LAS,SLC,368,4,17,0,0,6,0,69
212,1,3,4,1660,N613SW,68,80,55,36,LAS,SLC,368,2,11,,,,,
213,1,3,4,2533,N385SW,72,75,55,121,LAS,SLC,368,4,13,0,0,10,0,49
214,1,3,4,94,N715SW,81,85,66,74,LAS,SMF,397,5,10,25,0,0,0,10
215,1,3,4,584,N324SW,90,90,74,38,LAS,SMF,397,6,10,19,0,0,0,0
216,1,3,4,641,N626SW,85,85,67,102,LAS,SMF,397,6,12,9,0,0,0,42
217,1,3,4,2121,N632SW,90,90,68,22,LAS,SMF,397,4,18,,,,,
218,1,3,4,2622,N445WN,88,95,66,31,LAS,SMF,397,5,17,,,,,
219,1,3,4,3053,N418WN,81,90,68,15,LAS,SMF,397,4,9,,,,,
220,1,3,4,3862,N640SW,81,85,64,26,LAS,SMF,397,4,13,,,,,
221,1,3,4,433,N264LV,57,65,40,106,LAS,SNA,226,7,10,16,0,0,0,33
222,1,3,4,1016,N765SW,59,60,45,149,LAS,SNA,226,5,9,9,0,0,0,65
223,1,3,4,773,N472WN,178,190,151,94,LAS,STL,1372,3,24,2,0,0,0,39
224,1,3,4,1050,N212WN,171,190,150,37,LAS,STL,1372,4,17,,,,,
225,1,3,4,1583,N600WN,169,180,157,79,LAS,STL,1372,3,9,22,0,0,0,12
226,1,3,4,3403,N737JW,232,250,217,92,LAS,TPA,1984,5,10,29,0,0,0,8
227,1,3,4,574,N314SW,158,150,126,144,LAS,TUL,1076,3,29,0,0,14,0,62
228,1,3,4,486,N264LV,66,75,53,103,LAS,TUS,365,4,9,5,0,0,0,42
229,1,3,4,637,N342SW,71,75,56,108,LAS,TUS,365,4,11,24,0,0,0,28
230,1,3,4,1918,N267WN,75,75,55,42,LAS,TUS,365,3,17,8,0,0,0,13
231,1,3,4,3142,N446WN,65,70,53,71,LAS,TUS,365,4,8,8,0,0,0,25
232,1,3,4,3572,N489WN,75,75,54,56,LAS,TUS,365,3,18,0,0,0,0,28
233,1,3,4,230,N364SW,95,105,81,40,LAX,ABQ,677,4,10,0,0,4,0,11
234,1,3,4,361,N690SW,97,105,82,72,LAX,ABQ,677,6,9,0,0,11,0,21
235,1,3,4,397,N424WN,103,105,80,24,LAX,ABQ,677,18,5,,,,,
236,1,3,4,304,N326SW,160,170,148,8,LAX,AUS,1242,5,7,,,,,
237,1,3,4,1107,N708SA,215,225,203,94,LAX,BNA,1797,4,8,0,0,18,0,24
238,1,3,4,1324,N249WN,215,225,200,54,LAX,BNA,1797,4,11,10,0,0,0,12
239,1,3,4,330,N236WN,99,115,86,4,LAX,ELP,714,3,10,,,,,
240,1,3,4,1671,N684WN,96,110,85,206,LAX,ELP,714,3,8,5,0,0,0,91
241,1,3,4,2635,N335SW,105,110,88,35,LAX,ELP,714,3,14,7,0,0,0,8
242,1,3,4,528,N496WN,169,180,157,143,LAX,HOU,1390,4,8,11,0,0,0,55
243,1,3,4,3394,N667SW,169,180,159,79,LAX,HOU,1390,3,7,6,0,0,0,28
244,1,3,4,416,N401WN,53,65,41,60,LAX,LAS,236,4,8,18,0,0,0,6
245,1,3,4,479,N622SW,68,65,47,63,LAX,LAS,236,3,18,16,0,3,0,14
246,1,3,4,495,N768SW,56,65,41,15,LAX,LAS,236,8,7,,,,,
247,1,3,4,574,N314SW,100,65,44,89,LAX,LAS,236,4,52,13,0,35,0,14
248,1,3,4,1004,N676SW,56,60,42,106,LAX,LAS,236,6,8,0,0,4,0,47
249,1,3,4,1079,N351SW,84,65,43,43,LAX,LAS,236,22,19,11,0,19,0,1
250,1,3,4,2021,N499WN,76,65,42,61,LAX,LAS,236,25,9,7,0,11,0,18
251,1,3,4,2202,N758SW,63,65,41,16,LAX,LAS,236,4,18,,,,,
252,1,3,4,2454,N352SW,58,65,47,107,LAX,LAS,236,3,8,3,0,0,0,47
253,1,3,4,2809,N335SW,55,60,43,55,LAX,LAS,236,4,8,0,0,0,0,25
254,1,3,4,3144,N272WN,56,65,42,87,LAX,LAS,236,5,9,11,0,0,0,28
255,1,3,4,321,N742SW,168,195,154,27,LAX,MCI,1363,5,9,,,,,
256,1,3,4,1668,N262WN,164,195,156,3,LAX,MCI,1363,3,5,,,,,
257,1,3,4,2208,N632SW,174,190,159,90,LAX,MCI,1363,6,9,17,0,0,0,20
