ID,Month,DayofMonth,DayOfWeek,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,TotalDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,1,31,4,1520,224,230,198,192,390,198,MDW,PHX,1444,4,22,0,11,0,0,181
1,1,31,4,1592,252,235,197,85,153,68,MDW,PHX,1444,3,52,19,0,17,0,49
2,1,31,4,3930,310,235,194,194,313,119,MDW,PHX,1444,6,110,9,0,75,0,110
3,1,31,4,207,111,75,60,277,518,241,MDW,PIT,402,8,43,50,0,36,0,191
4,1,31,4,1123,87,75,53,61,110,49,MDW,PIT,402,3,31,49,0,12,0,0
5,1,31,4,1210,191,75,57,267,418,151,MDW,PIT,402,7,127,29,0,116,0,122
6,1,31,4,3069,97,75,55,100,178,78,MDW,PIT,402,4,38,0,56,22,0,22
7,1,31,4,1531,115,125,99,33,76,43,MDW,PVD,842,3,13,7,0,0,0,26
8,1,31,4,1849,112,125,98,-7,-1,6,MDW,PVD,842,4,10,,,,,
9,1,31,4,2462,127,125,97,78,154,76,MDW,PVD,842,8,22,0,4,2,0,72
10,1,31,4,3576,139,125,99,85,156,71,MDW,PVD,842,3,37,0,15,14,0,56
11,1,31,4,903,132,105,88,39,51,12,MDW,RDU,632,4,40,12,0,27,0,0
12,1,31,4,2360,133,100,89,144,255,111,MDW,RDU,632,4,40,0,62,33,0,49
13,1,31,4,3187,119,110,96,106,203,97,MDW,RDU,632,3,20,0,16,9,0,81
14,1,31,4,3836,273,255,240,50,82,32,MDW,RNO,1680,6,27,12,0,18,0,20
15,1,31,4,597,234,165,151,334,599,265,MDW,RSW,1105,3,80,0,33,69,0,232
16,1,31,4,620,182,170,153,24,36,12,MDW,RSW,1105,4,25,2,0,12,0,10
17,1,31,4,1424,277,265,241,144,276,132,MDW,SAN,1728,2,34,128,0,12,0,4
18,1,31,4,1766,258,265,230,6,19,13,MDW,SAN,1728,4,24,,,,,
19,1,31,4,1777,336,265,232,315,559,244,MDW,SAN,1728,3,101,0,21,71,0,223
20,1,31,4,2113,277,265,234,84,156,72,MDW,SAN,1728,2,41,0,32,12,0,40
21,1,31,4,626,179,175,144,188,372,184,MDW,SAT,1036,2,33,0,20,4,0,164
22,1,31,4,259,96,65,51,83,135,52,MDW,SDF,271,5,40,4,0,31,0,48
23,1,31,4,1111,70,65,51,277,549,272,MDW,SDF,271,6,13,0,46,5,0,226
24,1,31,4,1176,92,65,51,66,105,39,MDW,SDF,271,5,36,6,0,27,0,33
25,1,31,4,1471,75,65,55,392,774,382,MDW,SDF,271,4,16,118,0,10,0,264
26,1,31,4,1108,285,270,250,58,101,43,MDW,SEA,1733,4,31,0,0,15,0,43
27,1,31,4,1450,259,270,234,246,503,257,MDW,SEA,1733,4,21,0,58,0,0,188
28,1,31,4,3259,255,270,233,4,23,19,MDW,SEA,1733,4,18,,,,,
29,1,31,4,1481,298,285,271,185,357,172,MDW,SFO,1855,5,22,0,116,13,0,56
30,1,31,4,2987,354,285,258,290,511,221,MDW,SFO,1855,6,90,0,15,69,0,206
31,1,31,4,3396,301,285,270,210,404,194,MDW,SJC,1838,3,28,16,0,16,0,178
32,1,31,4,1948,252,210,178,277,512,235,MDW,SLC,1258,3,71,0,62,42,0,173
33,1,31,4,121,258,270,241,3,18,15,MDW,SMF,1790,3,14,,,,,
34,1,31,4,1598,308,270,247,119,200,81,MDW,SMF,1790,6,55,75,0,38,0,6
35,1,31,4,29,77,65,55,71,130,59,MDW,STL,251,4,18,0,10,12,0,49
36,1,31,4,57,113,65,53,102,156,54,MDW,STL,251,6,54,0,20,48,0,34
37,1,31,4,967,,60,,,173,173,MDW,STL,251,,53,,,,,
38,1,31,4,1101,103,65,51,216,394,178,MDW,STL,251,6,46,164,0,38,0,14
39,1,31,4,1620,142,65,56,178,279,101,MDW,STL,251,10,76,39,0,77,0,62
40,1,31,4,3239,88,60,52,78,128,50,MDW,STL,251,3,33,50,0,28,0,0
41,1,31,4,709,192,150,136,90,138,48,MDW,TPA,997,4,52,0,0,42,0,48
42,1,31,4,1431,173,155,140,40,62,22,MDW,TPA,997,5,28,22,0,18,0,0
43,1,31,4,3238,190,155,140,90,145,55,MDW,TPA,997,3,47,8,0,35,0,47
44,1,31,4,3920,209,150,140,170,281,111,MDW,TPA,997,4,65,0,23,59,0,88
45,1,31,4,978,224,225,197,108,217,109,MDW,TUS,1440,3,24,0,27,0,0,81
46,1,31,4,3307,272,225,196,293,539,246,MDW,TUS,1440,3,73,62,0,47,0,184
47,1,31,4,2785,80,90,70,56,122,66,MHT,BWI,377,3,7,0,0,0,0,56
48,1,31,4,3685,104,95,80,45,81,36,MHT,BWI,377,13,11,0,0,9,0,36
49,1,31,4,3766,84,95,73,54,119,65,MHT,BWI,377,4,7,0,0,0,0,54
50,1,31,4,396,192,200,173,21,50,29,MHT,MCO,1142,5,14,0,0,0,0,21
51,1,31,4,1076,181,195,170,67,148,81,MHT,MCO,1142,4,7,2,0,0,0,65
52,1,31,4,2532,199,195,175,26,48,22,MHT,MCO,1142,6,18,0,0,4,0,22
53,1,31,4,892,207,155,186,83,114,31,MHT,MDW,838,13,8,0,0,52,0,31
54,1,31,4,3413,223,155,189,186,304,118,MHT,MDW,838,16,18,0,0,123,0,63
55,1,31,4,217,55,75,45,16,52,36,MSY,BHM,321,3,7,1,0,0,0,15
56,1,31,4,1357,54,75,43,45,111,66,MSY,BHM,321,2,9,4,0,0,0,41
57,1,31,4,3307,87,85,68,15,28,13,MSY,BNA,471,10,9,0,0,10,0,5
58,1,31,4,1360,78,85,70,38,83,45,MSY,DAL,437,3,5,0,9,0,0,29
59,1,31,4,1376,101,85,86,50,84,34,MSY,DAL,437,2,13,0,0,28,0,22
60,1,31,4,1614,86,85,75,20,39,19,MSY,DAL,437,2,9,10,0,1,0,9
61,1,31,4,3758,82,85,75,193,389,196,MSY,DAL,437,2,5,0,0,0,0,193
62,1,31,4,1412,100,100,85,96,192,96,MSY,FLL,673,4,11,0,11,0,0,85
63,1,31,4,224,68,70,58,112,226,114,MSY,HOU,303,3,7,2,0,0,0,110
64,1,31,4,245,117,70,88,154,261,107,MSY,HOU,303,4,25,0,0,146,0,8
65,1,31,4,698,96,70,75,207,388,181,MSY,HOU,303,4,17,0,174,26,0,7
66,1,31,4,1462,81,70,68,40,69,29,MSY,HOU,303,4,9,0,29,11,0,0
67,1,31,4,2126,70,70,58,65,130,65,MSY,HOU,303,3,9,1,0,0,0,64
68,1,31,4,2438,109,70,67,137,235,98,MSY,HOU,303,2,40,1,0,39,0,97
69,1,31,4,3145,60,65,54,19,43,24,MSY,HOU,303,2,4,5,0,0,0,14
70,1,31,4,3415,75,70,58,159,313,154,MSY,HOU,303,6,11,16,0,5,0,138
71,1,31,4,3670,69,70,57,153,307,154,MSY,HOU,303,3,9,0,50,0,0,103
72,1,31,4,3761,81,70,66,44,77,33,MSY,HOU,303,4,11,7,0,11,0,26
73,1,31,4,2554,253,240,231,35,57,22,MSY,LAS,1501,5,17,0,0,26,0,9
74,1,31,4,3754,232,240,222,24,56,32,MSY,LAS,1501,5,5,0,0,6,0,18
75,1,31,4,1322,98,100,80,87,176,89,MSY,MCO,550,9,9,0,3,0,0,84
76,1,31,4,1404,90,95,78,27,59,32,MSY,MCO,550,5,7,8,0,0,0,19
77,1,31,4,2821,88,100,77,92,196,104,MSY,MCO,550,4,7,14,0,0,0,78
78,1,31,4,1162,81,80,69,136,271,135,MSY,TPA,487,4,8,8,0,1,0,127
79,1,31,4,1271,81,85,68,9,22,13,MSY,TPA,487,4,9,,,,,
80,1,31,4,2803,93,85,65,28,48,20,MSY,TPA,487,3,25,3,0,8,0,17
81,1,31,4,1347,119,130,108,15,41,26,OAK,ABQ,889,5,6,2,0,0,0,13
82,1,31,4,2546,141,135,105,15,24,9,OAK,ABQ,889,10,26,0,0,15,0,0
83,1,31,4,2876,244,250,227,3,12,9,OAK,BNA,1959,7,10,,,,,
84,1,31,4,3586,85,85,70,47,94,47,OAK,BOI,511,6,9,15,0,0,0,32
85,1,31,4,61,59,65,46,102,210,108,OAK,BUR,325,3,10,52,0,0,0,50
86,1,31,4,641,54,65,46,30,71,41,OAK,BUR,325,2,6,23,0,0,0,7
87,1,31,4,787,61,65,46,21,46,25,OAK,BUR,325,2,13,0,0,0,0,21
88,1,31,4,1436,57,65,46,18,44,26,OAK,BUR,325,2,9,2,0,0,0,16
89,1,31,4,1464,62,65,48,17,37,20,OAK,BUR,325,1,13,2,0,0,0,15
90,1,31,4,1932,76,65,47,20,29,9,OAK,BUR,325,9,20,9,0,11,0,0
91,1,31,4,2610,60,65,47,4,13,9,OAK,BUR,325,5,8,,,,,
92,1,31,4,2628,59,65,49,20,46,26,OAK,BUR,325,2,8,2,0,0,0,18
93,1,31,4,578,132,145,113,14,41,27,OAK,DEN,957,8,11,,,,,
94,1,31,4,2015,126,145,107,161,341,180,OAK,DEN,957,7,12,0,0,0,0,161
95,1,31,4,3761,109,120,96,32,75,43,OAK,GEG,723,5,8,0,0,0,0,32
96,1,31,4,901,70,85,58,111,237,126,OAK,LAS,407,4,8,4,0,0,0,107
97,1,31,4,1058,80,85,66,1,7,6,OAK,LAS,407,6,8,,,,,
98,1,31,4,1437,88,85,62,70,137,67,OAK,LAS,407,4,22,0,0,70,0,0
99,1,31,4,1540,82,80,61,14,26,12,OAK,LAS,407,6,15,,,,,
100,1,31,4,1541,91,85,64,19,32,13,OAK,LAS,407,13,14,0,0,6,0,13
101,1,31,4,2466,81,85,60,98,200,102,OAK,LAS,407,5,16,0,0,12,0,86
102,1,31,4,3062,80,85,64,37,79,42,OAK,LAS,407,4,12,3,0,0,0,34
103,1,31,4,3918,79,80,66,71,143,72,OAK,LAS,407,3,10,10,0,0,0,61
104,1,31,4,3937,78,85,62,31,69,38,OAK,LAS,407,5,11,31,0,0,0,0
105,1,31,4,710,65,80,51,55,125,70,OAK,LAX,337,6,8,0,0,5,0,50
106,1,31,4,725,67,75,51,1,10,9,OAK,LAX,337,6,10,,,,,
107,1,31,4,820,80,75,53,65,125,60,OAK,LAX,337,4,23,0,0,5,0,60
108,1,31,4,1302,82,75,54,26,45,19,OAK,LAX,337,12,16,2,0,7,0,17
109,1,31,4,1338,73,75,54,31,64,33,OAK,LAX,337,4,15,9,0,0,0,22
110,1,31,4,1588,63,75,51,-6,0,6,OAK,LAX,337,6,6,,,,,
111,1,31,4,1860,80,75,54,15,25,10,OAK,LAX,337,4,22,0,0,5,0,10
112,1,31,4,3083,77,80,52,12,27,15,OAK,LAX,337,6,19,,,,,
113,1,31,4,1765,194,205,173,3,17,14,OAK,MCI,1489,9,12,,,,,
114,1,31,4,2898,261,240,237,78,135,57,OAK,MDW,1844,6,18,0,0,68,0,10
115,1,31,4,1098,72,75,52,7,17,10,OAK,ONT,361,5,15,,,,,
116,1,31,4,1482,68,75,53,8,23,15,OAK,ONT,361,4,11,,,,,
117,1,31,4,2984,66,75,52,136,281,145,OAK,ONT,361,4,10,136,0,0,0,0
118,1,31,4,3492,68,75,52,23,53,30,OAK,ONT,361,4,12,1,0,0,0,22
119,1,31,4,3677,66,75,53,108,225,117,OAK,ONT,361,4,9,0,0,0,0,108
120,1,31,4,126,95,100,82,65,135,70,OAK,PDX,543,3,10,5,0,0,0,60
121,1,31,4,1472,106,100,82,33,60,27,OAK,PDX,543,5,19,1,0,6,0,26
122,1,31,4,2612,94,100,80,10,26,16,OAK,PDX,543,3,11,,,,,
123,1,31,4,98,115,115,91,19,38,19,OAK,PHX,646,6,18,16,0,0,0,3
124,1,31,4,730,105,110,89,8,21,13,OAK,PHX,646,4,12,,,,,
125,1,31,4,1154,105,110,86,7,19,12,OAK,PHX,646,9,10,,,,,
126,1,31,4,3317,128,115,86,68,123,55,OAK,PHX,646,16,26,13,0,13,0,42
127,1,31,4,4,49,50,34,105,211,106,OAK,RNO,180,4,11,0,0,0,0,105
128,1,31,4,1525,57,50,34,14,21,7,OAK,RNO,180,5,18,,,,,
129,1,31,4,1842,49,50,39,38,77,39,OAK,RNO,180,3,7,7,0,0,0,31
130,1,31,4,2970,60,50,40,30,50,20,OAK,RNO,180,5,15,2,0,10,0,18
131,1,31,4,1007,78,85,63,2,11,9,OAK,SAN,446,3,12,,,,,
132,1,31,4,1685,79,85,67,72,150,78,OAK,SAN,446,5,7,0,0,0,0,72
133,1,31,4,2965,78,85,64,23,53,30,OAK,SAN,446,3,11,3,0,0,0,20
134,1,31,4,3057,87,85,62,24,46,22,OAK,SAN,446,7,18,0,0,2,0,22
135,1,31,4,3416,76,85,65,-3,3,6,OAK,SAN,446,2,9,,,,,
136,1,31,4,3487,82,85,66,16,35,19,OAK,SAN,446,3,13,4,0,0,0,12
137,1,31,4,3514,94,85,62,47,85,38,OAK,SAN,446,3,29,28,0,9,0,10
138,1,31,4,1536,120,120,101,22,44,22,OAK,SEA,671,4,15,13,0,0,0,9
139,1,31,4,2443,119,120,107,52,105,53,OAK,SEA,671,3,9,0,0,0,0,52
140,1,31,4,3764,114,120,102,109,224,115,OAK,SEA,671,4,8,0,0,0,0,109
141,1,31,4,3951,123,125,104,162,326,164,OAK,SEA,671,4,15,7,0,0,0,155
142,1,31,4,1109,98,100,86,22,46,24,OAK,SLC,588,3,9,0,0,2,0,20
143,1,31,4,1601,100,100,82,83,166,83,OAK,SLC,588,6,12,83,0,0,0,0
144,1,31,4,1619,89,100,75,5,21,16,OAK,SLC,588,4,10,,,,,
145,1,31,4,3314,88,100,76,24,60,36,OAK,SLC,588,3,9,0,0,0,0,24
146,1,31,4,107,79,80,59,58,117,59,OAK,SNA,371,12,8,12,0,0,0,46
147,1,31,4,352,74,80,56,0,6,6,OAK,SNA,371,4,14,,,,,
148,1,31,4,482,79,80,60,8,17,9,OAK,SNA,371,4,15,,,,,
149,1,31,4,536,77,80,57,58,119,61,OAK,SNA,371,8,12,0,0,0,0,58
150,1,31,4,1674,74,80,60,40,86,46,OAK,SNA,371,4,10,33,0,0,0,7
151,1,31,4,3414,84,80,59,10,16,6,OAK,SNA,371,5,20,,,,,
152,1,31,4,1273,116,125,93,18,45,27,OAK,TUS,747,3,20,12,0,0,0,6
153,1,31,4,2730,153,170,134,-11,-5,6,OKC,BWI,1180,2,17,,,,,
154,1,31,4,1162,52,50,38,69,136,67,OKC,DAL,181,2,12,0,0,2,0,67
155,1,31,4,1609,59,50,42,23,37,14,OKC,DAL,181,4,13,0,0,9,0,14
156,1,31,4,1760,55,50,40,140,275,135,OKC,DAL,181,6,9,1,0,5,0,134
157,1,31,4,12,100,100,80,72,144,72,OKC,DEN,495,7,13,0,0,0,0,72
158,1,31,4,1274,100,100,86,139,278,139,OKC,DEN,495,6,8,0,0,0,0,139
159,1,31,4,1062,101,80,74,209,397,188,OKC,HOU,419,4,23,0,0,186,0,23
160,1,31,4,1563,81,80,63,17,33,16,OKC,HOU,419,4,14,0,0,1,0,16
161,1,31,4,2011,73,80,64,164,335,171,OKC,HOU,419,3,6,1,0,0,0,163
162,1,31,4,179,177,165,158,51,90,39,OKC,LAS,987,5,14,17,0,12,0,22
163,1,31,4,1462,64,65,49,46,93,47,OKC,MCI,313,4,11,0,0,0,0,46
164,1,31,4,2735,63,65,46,173,348,175,OKC,MCI,313,5,12,3,0,0,0,170
165,1,31,4,2294,142,145,128,35,73,38,OKC,PHX,833,6,8,17,0,0,0,18
166,1,31,4,2300,80,80,63,28,56,28,OKC,STL,462,4,13,11,0,0,0,17
167,1,31,4,1518,174,180,161,10,26,16,OMA,LAS,1099,5,8,,,,,
168,1,31,4,2208,167,185,155,18,54,36,OMA,LAS,1099,5,7,0,0,0,0,18
169,1,31,4,2094,90,80,69,171,332,161,OMA,MDW,423,11,10,0,124,10,0,37
170,1,31,4,2560,115,80,75,212,389,177,OMA,MDW,423,35,5,0,0,179,0,33
171,1,31,4,2629,105,80,66,103,181,78,OMA,MDW,423,6,33,0,23,25,0,55
172,1,31,4,628,167,175,151,40,88,48,OMA,PHX,1037,8,8,5,0,0,0,35
173,1,31,4,802,151,175,139,53,130,77,OMA,PHX,1037,5,7,35,0,0,0,18
174,1,31,4,1621,68,65,54,91,179,88,OMA,STL,342,7,7,0,0,3,0,88
175,1,31,4,378,58,60,40,58,118,60,ONT,LAS,197,6,12,4,0,0,0,54
176,1,31,4,2381,56,60,38,32,68,36,ONT,LAS,197,3,15,0,0,0,0,32
177,1,31,4,2809,53,60,41,3,13,10,ONT,LAS,197,5,7,,,,,
178,1,31,4,3334,55,60,44,52,109,57,ONT,LAS,197,3,8,0,0,16,0,36
179,1,31,4,3840,56,60,40,40,84,44,ONT,LAS,197,3,13,0,0,0,0,40
180,1,31,4,8,85,75,73,156,302,146,ONT,OAK,361,4,8,10,0,10,0,136
181,1,31,4,1305,89,75,72,22,30,8,ONT,OAK,361,5,12,8,0,14,0,0
182,1,31,4,1339,73,75,62,7,16,9,ONT,OAK,361,5,6,,,,,
183,1,31,4,1592,79,75,69,90,176,86,ONT,OAK,361,4,6,0,0,4,0,86
184,1,31,4,3764,87,75,76,118,224,106,ONT,OAK,361,4,7,0,0,12,0,106
185,1,31,4,3951,123,75,61,157,266,109,ONT,OAK,361,5,57,0,0,48,0,109
186,1,31,4,1482,63,70,51,-1,5,6,ONT,PHX,325,4,8,,,,,
187,1,31,4,1546,63,65,50,25,52,27,ONT,PHX,325,3,10,0,0,0,0,25
188,1,31,4,2295,68,70,51,32,66,34,ONT,PHX,325,8,9,0,0,0,0,32
189,1,31,4,2453,57,70,47,-6,1,7,ONT,PHX,325,4,6,,,,,
190,1,31,4,42,67,70,58,36,75,39,ONT,SJC,333,3,6,0,0,0,0,36
191,1,31,4,299,73,70,61,29,55,26,ONT,SJC,333,4,8,0,0,3,0,26
192,1,31,4,2452,67,70,57,44,91,47,ONT,SJC,333,4,6,0,0,0,0,44
193,1,31,4,976,81,80,69,97,193,96,ONT,SMF,389,5,7,6,0,1,0,90
194,1,31,4,3579,89,80,67,38,67,29,ONT,SMF,389,5,17,6,0,9,0,23
195,1,31,4,1192,46,50,33,68,140,72,ORF,BWI,159,4,9,7,0,0,0,61
196,1,31,4,1251,45,50,33,7,19,12,ORF,BWI,159,3,9,,,,,
197,1,31,4,1777,186,135,145,223,395,172,ORF,MDW,704,28,13,0,0,99,0,124
198,1,31,4,46,128,135,116,21,49,28,ORF,TPA,717,4,8,0,0,0,0,21
199,1,31,4,2449,141,155,123,-6,2,8,PBI,PHL,951,11,7,,,,,
200,1,31,4,3586,48,50,36,35,72,37,PBI,TPA,174,4,8,35,0,0,0,0
201,1,31,4,1130,60,65,49,15,35,20,PDX,BOI,344,3,8,0,0,0,0,15
202,1,31,4,1231,62,60,47,102,202,100,PDX,GEG,279,6,9,0,0,2,0,100
203,1,31,4,2612,62,60,46,18,34,16,PDX,GEG,279,4,12,6,0,2,0,10
204,1,31,4,41,128,125,109,9,15,6,PDX,LAS,762,5,14,,,,,
205,1,31,4,273,116,125,105,48,105,57,PDX,LAS,762,5,6,0,0,0,0,48
206,1,31,4,114,191,200,177,-2,5,7,PDX,MCI,1481,4,10,,,,,
207,1,31,4,214,,235,,,14,14,PDX,MDW,1751,,13,,,,,
208,1,31,4,3062,97,105,80,38,84,46,PDX,OAK,543,4,13,10,0,0,0,28
209,1,31,4,1298,146,155,128,-3,3,6,PDX,PHX,1009,6,12,,,,,
210,1,31,4,286,76,75,59,37,73,36,PDX,RNO,444,5,12,3,0,1,0,33
211,1,31,4,3411,75,80,63,25,55,30,PDX,RNO,444,4,8,4,0,0,0,21
212,1,31,4,3419,76,80,64,9,22,13,PDX,RNO,444,3,9,,,,,
213,1,31,4,1575,92,105,80,33,79,46,PDX,SJC,569,3,9,6,0,0,0,27
214,1,31,4,2001,97,105,84,-1,6,7,PDX,SJC,569,4,9,,,,,
215,1,31,4,1839,101,105,84,28,60,32,PDX,SLC,630,6,11,9,0,0,0,19
216,1,31,4,1321,98,85,75,19,25,6,PDX,SMF,479,5,18,0,0,13,0,6
217,1,31,4,1853,81,85,68,20,44,24,PDX,SMF,479,4,9,4,0,0,0,16
218,1,31,4,2359,78,85,67,14,35,21,PDX,SMF,479,5,6,,,,,
219,1,31,4,2719,75,85,64,49,108,59,PDX,SMF,479,4,7,0,0,0,0,49
220,1,31,4,2474,89,105,73,-3,10,13,PHL,CMH,405,5,11,,,,,
221,1,31,4,2807,143,140,119,21,39,18,PHL,JAX,742,6,18,0,0,3,0,18
222,1,31,4,637,160,160,130,6,12,6,PHL,MCO,861,7,23,,,,,
223,1,31,4,1045,142,160,129,-6,6,12,PHL,MCO,861,4,9,,,,,
224,1,31,4,1415,148,160,131,50,112,62,PHL,MCO,861,6,11,0,0,0,0,50
225,1,31,4,2985,170,160,131,47,84,37,PHL,MCO,861,6,33,37,0,10,0,0
226,1,31,4,1186,173,145,124,210,392,182,PHL,MDW,668,6,43,182,0,28,0,0
227,1,31,4,3669,191,145,145,232,418,186,PHL,MDW,668,20,26,0,186,46,0,0
228,1,31,4,177,76,75,52,69,137,68,PHL,MHT,290,3,21,68,0,1,0,0
229,1,31,4,2028,65,85,51,-5,10,15,PHL,MHT,290,3,11,,,,,
230,1,31,4,1280,323,335,305,-2,8,10,PHL,PHX,2075,4,14,,,,,
231,1,31,4,349,64,75,47,189,389,200,PHL,PIT,267,5,12,0,0,0,0,189
232,1,31,4,7,60,70,39,204,418,214,PHL,PVD,238,5,16,0,0,0,0,204
233,1,31,4,31,75,65,42,47,84,37,PHL,PVD,238,4,29,0,0,14,0,33
234,1,31,4,113,92,95,66,45,93,48,PHL,RDU,336,3,23,21,0,0,0,24
235,1,31,4,1417,84,100,60,43,102,59,PHL,RDU,336,2,22,0,0,0,0,43
236,1,31,4,3855,105,85,63,30,40,10,PHL,RDU,336,3,39,10,0,20,0,0
237,1,31,4,607,57,60,45,5,13,8,PHX,ABQ,328,3,9,,,,,
238,1,31,4,1464,53,60,44,9,25,16,PHX,ABQ,328,4,5,,,,,
239,1,31,4,1624,67,65,45,39,76,37,PHX,ABQ,328,3,19,3,0,2,0,34
240,1,31,4,1686,62,65,47,15,33,18,PHX,ABQ,328,3,12,2,0,0,0,13
241,1,31,4,2610,59,60,43,11,23,12,PHX,ABQ,328,3,13,,,,,
242,1,31,4,2713,117,125,101,34,76,42,PHX,AUS,872,4,12,13,0,0,0,21
243,1,31,4,3317,126,125,111,66,131,65,PHX,AUS,872,5,10,0,0,1,0,65
244,1,31,4,1298,183,185,160,22,46,24,PHX,BHM,1455,6,17,22,0,0,0,0
245,1,31,4,1747,189,190,169,30,61,31,PHX,BNA,1448,5,15,16,0,0,0,14
246,1,31,4,3929,192,190,173,11,20,9,PHX,BNA,1448,5,14,,,,,
247,1,31,4,700,83,85,69,14,30,16,PHX,BUR,369,3,11,,,,,
248,1,31,4,756,97,95,74,15,28,13,PHX,BUR,369,2,21,13,0,2,0,0
249,1,31,4,1240,87,80,73,23,39,16,PHX,BUR,369,4,10,0,0,7,0,16
250,1,31,4,1388,86,85,74,16,31,15,PHX,BUR,369,2,10,0,0,1,0,15
251,1,31,4,2784,98,80,74,115,212,97,PHX,BUR,369,9,15,0,0,18,0,97
252,1,31,4,3930,73,80,63,181,369,188,PHX,BUR,369,3,7,0,0,0,0,181
253,1,31,4,2006,256,245,230,165,319,154,PHX,BWI,1999,4,22,3,0,11,0,151
254,1,31,4,613,114,105,84,29,49,20,PHX,DEN,602,8,22,20,0,9,0,0
255,1,31,4,1320,97,105,79,21,50,29,PHX,DEN,602,7,11,11,0,0,0,10
256,1,31,4,1489,96,105,82,43,95,52,PHX,DEN,602,5,9,0,0,0,0,43
257,1,31,4,739,221,230,204,155,319,164,PHX,DTW,1671,6,11,71,0,0,0,84
258,1,31,4,1056,57,65,46,52,112,60,PHX,ELP,347,3,8,0,0,0,0,52
259,1,31,4,1538,56,65,48,20,49,29,PHX,ELP,347,3,5,3,0,0,0,17
260,1,31,4,3748,63,65,47,33,68,35,PHX,ELP,347,4,12,0,0,0,0,33
261,1,31,4,1859,135,155,121,-1,18,19,PHX,HOU,1020,6,8,,,,,
262,1,31,4,2965,133,140,124,26,59,33,PHX,HOU,1020,3,6,2,0,0,0,24
263,1,31,4,628,59,65,46,136,278,142,PHX,LAS,256,7,6,98,0,0,0,38
264,1,31,4,802,83,60,49,75,127,52,PHX,LAS,256,16,18,0,0,23,0,52
265,1,31,4,898,60,60,47,65,130,65,PHX,LAS,256,4,9,65,0,0,0,0
266,1,31,4,1112,88,60,51,71,114,43,PHX,LAS,256,5,32,0,0,28,0,43
267,1,31,4,1435,68,60,45,112,216,104,PHX,LAS,256,6,17,73,0,8,0,31
268,1,31,4,1499,69,65,48,10,16,6,PHX,LAS,256,5,16,,,,,
269,1,31,4,2639,101,65,48,90,144,54,PHX,LAS,256,23,30,0,0,36,0,54
270,1,31,4,3777,69,65,47,78,152,74,PHX,LAS,256,14,8,0,0,78,0,0
271,1,31,4,3915,74,65,45,23,37,14,PHX,LAS,256,4,25,14,0,9,0,0
272,1,31,4,1114,80,80,63,90,180,90,PHX,LAX,370,6,11,0,0,0,0,90
273,1,31,4,1377,78,80,60,13,28,15,PHX,LAX,370,8,10,,,,,
274,1,31,4,1444,75,80,61,5,15,10,PHX,LAX,370,6,8,,,,,
275,1,31,4,1466,86,80,65,61,116,55,PHX,LAX,370,7,14,4,0,6,0,51
276,1,31,4,1832,71,80,60,20,49,29,PHX,LAX,370,6,5,3,0,0,0,17
277,1,31,4,3586,87,80,62,39,71,32,PHX,LAX,370,10,15,1,0,7,0,31
278,1,31,4,2190,157,155,133,9,16,7,PHX,LIT,1136,6,18,,,,,
279,1,31,4,536,137,150,124,35,83,48,PHX,MCI,1044,5,8,0,0,0,0,35
280,1,31,4,3595,143,150,130,5,17,12,PHX,MCI,1044,4,9,,,,,
281,1,31,4,278,214,195,196,28,37,9,PHX,MDW,1444,12,6,0,9,19,0,0
282,1,31,4,482,211,195,192,85,154,69,PHX,MDW,1444,5,14,0,0,71,0,14
283,1,31,4,989,189,205,167,-8,0,8,PHX,MDW,1444,12,10,,,,,
284,1,31,4,1176,196,195,182,33,65,32,PHX,MDW,1444,5,9,32,0,1,0,0
285,1,31,4,1865,258,200,227,98,138,40,PHX,MDW,1444,10,21,3,0,58,0,37
286,1,31,4,3394,,200,,,46,46,PHX,MDW,1444,,26,,,,,
287,1,31,4,1050,269,280,250,-5,1,6,PHX,MHT,2279,3,16,,,,,
288,1,31,4,3667,180,170,166,24,38,14,PHX,MSY,1301,4,10,0,0,24,0,0
289,1,31,4,1584,130,120,114,33,56,23,PHX,OAK,646,9,7,21,0,10,0,2
290,1,31,4,1773,131,125,119,26,46,20,PHX,OAK,646,4,8,0,0,6,0,20
291,1,31,4,1154,123,130,105,1,9,8,PHX,OKC,833,4,14,,,,,
292,1,31,4,2183,109,125,99,169,354,185,PHX,OKC,833,3,7,57,0,0,0,112
293,1,31,4,2543,140,145,127,227,459,232,PHX,OMA,1037,4,9,5,0,0,0,222
294,1,31,4,2560,142,145,128,33,69,36,PHX,OMA,1037,3,11,0,0,0,0,33
295,1,31,4,42,68,70,52,42,86,44,PHX,ONT,325,4,12,14,0,0,0,28
296,1,31,4,1520,60,65,51,182,369,187,PHX,ONT,325,4,5,0,0,0,0,182
297,1,31,4,1592,70,65,53,91,177,86,PHX,ONT,325,4,13,1,0,5,0,85
298,1,31,4,2294,75,70,57,38,71,33,PHX,ONT,325,4,14,0,0,5,0,33
299,1,31,4,2452,66,70,54,49,102,53,PHX,ONT,325,4,8,11,0,0,0,38
